symbol,output_size,window_size,data_mode,n_estimators,criterion,min_samples_leaf,max_depth,max_string_lenght:,val_score,test_score,balance_score
AAPL,3,3,2,10,gini,5,9,1000,0.4090909090909091,0.43333333333333335,0.4807692307692308
AAPL,3,3,2,100,gini,5,5,500,0.4090909090909091,0.5166666666666667,0.5576923076923077
GOOGL,3,3,2,100,gini,5,1,20000,0.4090909090909091,0.43333333333333335,0.5
AMZN,3,7,2,5,gini,5,2,1000,0.4090909090909091,0.5666666666666667,0.5555555555555556
TSLA,3,14,2,10,entropy,5,5,1000,0.4090909090909091,0.4666666666666667,0.4827586206896552
AAPL,3,7,2,100,gini,5,9,1000,0.4090909090909091,0.5166666666666667,0.5961538461538461
TSLA,3,14,2,5,entropy,5,6,500,0.4090909090909091,0.5333333333333333,0.5172413793103449
AMZN,7,7,2,5,entropy,5,1,10000,0.4090909090909091,0.4642857142857143,0.48148148148148145
AAPL,3,7,2,100,entropy,5,8,1000,0.4090909090909091,0.5166666666666667,0.5384615384615384
TSLA,3,14,2,10,entropy,5,8,1000,0.4090909090909091,0.5666666666666667,0.5689655172413793
GOOGL,3,7,2,5,gini,5,7,10000,0.4090909090909091,0.4666666666666667,0.5192307692307693
MSFT,3,14,2,5,entropy,5,6,1000,0.4090909090909091,0.36666666666666664,0.44
MSFT,3,3,2,10,gini,5,10,1000,0.4090909090909091,0.55,0.58
GOOGL,7,14,2,10,entropy,5,7,500,0.4090909090909091,0.6071428571428571,0.6
AAPL,3,3,2,5,gini,5,5,1000,0.4090909090909091,0.5166666666666667,0.5384615384615384
AAPL,3,7,2,5,gini,5,9,10000,0.4090909090909091,0.5,0.4807692307692308
TSLA,3,3,2,5,gini,5,6,20000,0.4090909090909091,0.45,0.46551724137931033
AMZN,7,7,2,10,entropy,5,8,10000,0.4090909090909091,0.44642857142857145,0.4444444444444444
GOOGL,3,7,2,100,entropy,5,6,20000,0.4090909090909091,0.4666666666666667,0.5192307692307693
TSLA,3,7,2,10,gini,5,8,1000,0.4090909090909091,0.5333333333333333,0.5517241379310345
AAPL,3,7,2,10,gini,5,4,10000,0.4090909090909091,0.6666666666666666,0.6538461538461539
MSFT,3,3,2,5,gini,5,3,20000,0.4090909090909091,0.5833333333333334,0.54
TSLA,3,14,2,10,gini,5,7,1000,0.4090909090909091,0.5666666666666667,0.5689655172413793
TSLA,3,14,2,10,gini,5,6,1000,0.4090909090909091,0.4666666666666667,0.46551724137931033
GOOGL,3,3,1,5,entropy,5,10,500,0.4090909090909091,0.48333333333333334,0.5576923076923077
AAPL,3,3,2,10,gini,5,5,1000,0.4090909090909091,0.5166666666666667,0.5576923076923077
MSFT,7,7,2,5,gini,5,7,1000,0.4090909090909091,0.5178571428571429,0.4722222222222222
MSFT,7,3,2,5,gini,5,1,1000,0.4090909090909091,0.42857142857142855,0.5833333333333334
TSLA,3,3,2,5,gini,5,2,20000,0.4090909090909091,0.48333333333333334,0.5
GOOGL,7,14,2,10,gini,5,2,20000,0.4090909090909091,0.5178571428571429,0.48
AMZN,3,14,2,10,entropy,5,2,1000,0.4090909090909091,0.5,0.5
GOOGL,7,3,2,5,gini,5,10,10000,0.4090909090909091,0.5535714285714286,0.56
AAPL,3,3,2,5,entropy,5,4,500,0.4090909090909091,0.5833333333333334,0.5769230769230769
TSLA,3,3,2,5,entropy,5,6,1000,0.4090909090909091,0.45,0.4482758620689655
AAPL,7,7,2,5,entropy,5,4,500,0.4090909090909091,0.5535714285714286,0.6111111111111112
AMZN,3,7,2,10,entropy,5,6,10000,0.4090909090909091,0.5,0.46296296296296297
GOOGL,3,7,2,10,gini,5,2,20000,0.4090909090909091,0.48333333333333334,0.5576923076923077
MSFT,3,3,2,5,entropy,5,6,10000,0.4090909090909091,0.4666666666666667,0.46
